email;password;nimed;kasutajanimed
lane.fishby@hkhk.edu.ee;shF44;Lane  Fishby;lfishby
ursala.de la salle@hkhk.edu.ee;D e60;Ursala  De La Salle;ude la salle
lela.utteridge@hkhk.edu.ee;gtg97;Lela  Utteridge;lutteridge
ingelbert.barkly@hkhk.edu.ee;kky15;Ingelbert  Barkly;ibarkly
bo.canto@hkhk.edu.ee;ntn80;Bo  Canto;bcanto
axe.mattioli@hkhk.edu.ee;Mio61;Axe  Mattioli;amattioli
bud.ratnage@hkhk.edu.ee;tnn83;Bud  Ratnage;bratnage
gerhardt.tredgold@hkhk.edu.ee;old22;Gerhardt  Tredgold;gtredgold
thaxter.macvanamy@hkhk.edu.ee;nVm11;Thaxter  MacVanamy;tmacvanamy
joelynn.fishbourne@hkhk.edu.ee;buo71;Joelynn  Fishbourne;jfishbourne
meryl.bru@hkhk.edu.ee;rBu82;Meryl  Bru;mbru
emery.woodruffe@hkhk.edu.ee;Wed88;Emery  Woodruffe;ewoodruffe
germana.guterson@hkhk.edu.ee;enr54;Germana  Guterson;gguterson
silvester.keers@hkhk.edu.ee;esr82;Silvester  Keers;skeers
dacy.harmar@hkhk.edu.ee;arr45;Dacy  Harmar;dharmar
rutledge.redgewell@hkhk.edu.ee;wgl50;Rutledge  Redgewell;rredgewell
isabelle.hugle@hkhk.edu.ee;llg40;Isabelle  Hugle;ihugle
ileane.lothean@hkhk.edu.ee;ntn42;Ileane  Lothean;ilothean
ardith.arnaut@hkhk.edu.ee;nAa60;Ardith  Arnaut;aarnaut
pietro.davidovici@hkhk.edu.ee;ido58;Pietro  Davidovici;pdavidovici
kristen.shales@hkhk.edu.ee;aSl56;Kristen  Shales;kshales
court.klimmek@hkhk.edu.ee;iml30;Court  Klimmek;cklimmek
chelsea.shedden@hkhk.edu.ee;eeS48;Chelsea  Shedden;cshedden
jamie.tenney@hkhk.edu.ee;enn50;Jamie  Tenney;jtenney
jeni.gasparro@hkhk.edu.ee;rps43;Jeni  Gasparro;jgasparro
willdon.mallabund@hkhk.edu.ee;nbM40;Willdon  Mallabund;wmallabund
ross.algy@hkhk.edu.ee;lly95;Ross  Algy;ralgy
inigo.diperaus@hkhk.edu.ee;euu93;Inigo  Diperaus;idiperaus
mabelle.ellicott@hkhk.edu.ee;lic55;Mabelle  Ellicott;mellicott
forrester.loade@hkhk.edu.ee;doa90;Forrester  Loade;floade
natalya.wood@hkhk.edu.ee;odo86;Natalya  Wood;nwood
ede.mcquarter@hkhk.edu.ee;auc54;Ede  McQuarter;emcquarter
kalie.bomb@hkhk.edu.ee;oBB12;Kalie  Bomb;kbomb
fairfax.wonfor@hkhk.edu.ee;rof90;Fairfax  Wonfor;fwonfor
